College/School,Department,Intended Major,Neither Parent has 4 Year College Degree,Applicant Headcounts,Academic Yr,('SIRed')
Clg of Chemistry,Chem & Biomolecular Eng,Chem Eng/MSE Joint Major,N,8,2015-16,(SIRed)
Clg of Chemistry,Chem & Biomolecular Eng,Chem Eng/MSE Joint Major,N,0,2016-17,(SIRed)
Clg of Chemistry,Chem & Biomolecular Eng,Chem Eng/MSE Joint Major,N,2,2017-18,(SIRed)
Clg of Chemistry,Chem & Biomolecular Eng,Chem Eng/MSE Joint Major,U,,2015-16,(SIRed)
Clg of Chemistry,Chem & Biomolecular Eng,Chem Eng/MSE Joint Major,U,1,2017-18,(SIRed)
Clg of Chemistry,Chem & Biomolecular Eng,Chem Eng/MSE Joint Major,Y,4,2015-16,(SIRed)
Clg of Chemistry,Chem & Biomolecular Eng,Chem Eng/MSE Joint Major,Y,3,2016-17,(SIRed)
Clg of Chemistry,Chem & Biomolecular Eng,Chem Eng/MSE Joint Major,Y,4,2017-18,(SIRed)
Clg of Chemistry,Chem & Biomolecular Eng,Chem Eng/NE Joint Major,N,1,2015-16,(SIRed)
Clg of Chemistry,Chem & Biomolecular Eng,Chem Eng/NE Joint Major,N,1,2016-17,(SIRed)
Clg of Chemistry,Chem & Biomolecular Eng,Chem Eng/NE Joint Major,N,2,2017-18,(SIRed)
Clg of Chemistry,Chem & Biomolecular Eng,Chem Eng/NE Joint Major,U,0,2016-17,(SIRed)
Clg of Chemistry,Chem & Biomolecular Eng,Chem Eng/NE Joint Major,U,0,2017-18,(SIRed)
Clg of Chemistry,Chem & Biomolecular Eng,Chem Eng/NE Joint Major,Y,3,2015-16,(SIRed)
Clg of Chemistry,Chem & Biomolecular Eng,Chem Eng/NE Joint Major,Y,4,2016-17,(SIRed)
Clg of Chemistry,Chem & Biomolecular Eng,Chem Eng/NE Joint Major,Y,1,2017-18,(SIRed)
Clg of Chemistry,Chem & Biomolecular Eng,Chemical Engineering,N,12,2015-16,(SIRed)
Clg of Chemistry,Chem & Biomolecular Eng,Chemical Engineering,N,20,2016-17,(SIRed)
Clg of Chemistry,Chem & Biomolecular Eng,Chemical Engineering,N,12,2017-18,(SIRed)
Clg of Chemistry,Chem & Biomolecular Eng,Chemical Engineering,U,,2015-16,(SIRed)
Clg of Chemistry,Chem & Biomolecular Eng,Chemical Engineering,U,0,2016-17,(SIRed)
Clg of Chemistry,Chem & Biomolecular Eng,Chemical Engineering,U,1,2017-18,(SIRed)
Clg of Chemistry,Chem & Biomolecular Eng,Chemical Engineering,Y,9,2015-16,(SIRed)
Clg of Chemistry,Chem & Biomolecular Eng,Chemical Engineering,Y,20,2016-17,(SIRed)
Clg of Chemistry,Chem & Biomolecular Eng,Chemical Engineering,Y,9,2017-18,(SIRed)
Clg of Chemistry,Chemistry,Chemical Biology,N,4,2015-16,(SIRed)
Clg of Chemistry,Chemistry,Chemical Biology,N,5,2016-17,(SIRed)
Clg of Chemistry,Chemistry,Chemical Biology,N,10,2017-18,(SIRed)
Clg of Chemistry,Chemistry,Chemical Biology,U,,2015-16,(SIRed)
Clg of Chemistry,Chemistry,Chemical Biology,U,1,2016-17,(SIRed)
Clg of Chemistry,Chemistry,Chemical Biology,U,0,2017-18,(SIRed)
Clg of Chemistry,Chemistry,Chemical Biology,Y,9,2015-16,(SIRed)
Clg of Chemistry,Chemistry,Chemical Biology,Y,5,2016-17,(SIRed)
Clg of Chemistry,Chemistry,Chemical Biology,Y,7,2017-18,(SIRed)
Clg of Chemistry,Chemistry,Chemistry,N,16,2015-16,(SIRed)
Clg of Chemistry,Chemistry,Chemistry,N,5,2016-17,(SIRed)
Clg of Chemistry,Chemistry,Chemistry,N,9,2017-18,(SIRed)
Clg of Chemistry,Chemistry,Chemistry,U,2,2015-16,(SIRed)
Clg of Chemistry,Chemistry,Chemistry,U,1,2016-17,(SIRed)
Clg of Chemistry,Chemistry,Chemistry,U,0,2017-18,(SIRed)
Clg of Chemistry,Chemistry,Chemistry,Y,6,2015-16,(SIRed)
Clg of Chemistry,Chemistry,Chemistry,Y,11,2016-17,(SIRed)
Clg of Chemistry,Chemistry,Chemistry,Y,14,2017-18,(SIRed)
Clg of Engineering,Bioengineering,Bioengineering,N,3,2015-16,(SIRed)
Clg of Engineering,Bioengineering,Bioengineering,N,4,2016-17,(SIRed)
Clg of Engineering,Bioengineering,Bioengineering,N,6,2017-18,(SIRed)
Clg of Engineering,Bioengineering,Bioengineering,U,,2015-16,(SIRed)
Clg of Engineering,Bioengineering,Bioengineering,U,0,2016-17,(SIRed)
Clg of Engineering,Bioengineering,Bioengineering,U,0,2017-18,(SIRed)
Clg of Engineering,Bioengineering,Bioengineering,Y,3,2015-16,(SIRed)
Clg of Engineering,Bioengineering,Bioengineering,Y,3,2016-17,(SIRed)
Clg of Engineering,Bioengineering,Bioengineering,Y,2,2017-18,(SIRed)
Clg of Engineering,Civil & Environmental Eng,Civil Engineering,N,9,2015-16,(SIRed)
Clg of Engineering,Civil & Environmental Eng,Civil Engineering,N,11,2016-17,(SIRed)
Clg of Engineering,Civil & Environmental Eng,Civil Engineering,N,11,2017-18,(SIRed)
Clg of Engineering,Civil & Environmental Eng,Civil Engineering,U,,2015-16,(SIRed)
Clg of Engineering,Civil & Environmental Eng,Civil Engineering,U,0,2016-17,(SIRed)
Clg of Engineering,Civil & Environmental Eng,Civil Engineering,U,0,2017-18,(SIRed)
Clg of Engineering,Civil & Environmental Eng,Civil Engineering,Y,5,2015-16,(SIRed)
Clg of Engineering,Civil & Environmental Eng,Civil Engineering,Y,12,2016-17,(SIRed)
Clg of Engineering,Civil & Environmental Eng,Civil Engineering,Y,10,2017-18,(SIRed)
Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci,N,40,2015-16,(SIRed)
Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci,N,40,2016-17,(SIRed)
Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci,N,44,2017-18,(SIRed)
Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci,U,,2015-16,(SIRed)
Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci,U,2,2016-17,(SIRed)
Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci,U,2,2017-18,(SIRed)
Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci,Y,38,2015-16,(SIRed)
Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci,Y,42,2016-17,(SIRed)
Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci,Y,54,2017-18,(SIRed)
Clg of Engineering,Engineering Joint Programs,EECS/MSE Joint Major,Y,,2015-16,(SIRed)
Clg of Engineering,Engineering Science,Energy Engineering,N,,2015-16,(SIRed)
Clg of Engineering,Engineering Science,Energy Engineering,N,1,2016-17,(SIRed)
Clg of Engineering,Engineering Science,Energy Engineering,N,3,2017-18,(SIRed)
Clg of Engineering,Engineering Science,Energy Engineering,U,,2015-16,(SIRed)
Clg of Engineering,Engineering Science,Energy Engineering,U,0,2017-18,(SIRed)
Clg of Engineering,Engineering Science,Energy Engineering,Y,,2015-16,(SIRed)
Clg of Engineering,Engineering Science,Energy Engineering,Y,0,2016-17,(SIRed)
Clg of Engineering,Engineering Science,Energy Engineering,Y,0,2017-18,(SIRed)
Clg of Engineering,Engineering Science,Eng Math & Statistics,N,,2015-16,(SIRed)
Clg of Engineering,Engineering Science,Eng Math & Statistics,N,0,2016-17,(SIRed)
Clg of Engineering,Engineering Science,Eng Math & Statistics,N,2,2017-18,(SIRed)
Clg of Engineering,Engineering Science,Eng Math & Statistics,U,0,2016-17,(SIRed)
Clg of Engineering,Engineering Science,Eng Math & Statistics,Y,1,2015-16,(SIRed)
Clg of Engineering,Engineering Science,Eng Math & Statistics,Y,0,2016-17,(SIRed)
Clg of Engineering,Engineering Science,Eng Math & Statistics,Y,0,2017-18,(SIRed)
Clg of Engineering,Engineering Science,Engineering Physics,N,3,2015-16,(SIRed)
Clg of Engineering,Engineering Science,Engineering Physics,N,1,2016-17,(SIRed)
Clg of Engineering,Engineering Science,Engineering Physics,N,3,2017-18,(SIRed)
Clg of Engineering,Engineering Science,Engineering Physics,Y,,2015-16,(SIRed)
Clg of Engineering,Engineering Science,Engineering Physics,Y,0,2016-17,(SIRed)
Clg of Engineering,Engineering Science,Engineering Physics,Y,0,2017-18,(SIRed)
Clg of Engineering,Engineering Science,Environmental Eng Science,N,,2015-16,(SIRed)
Clg of Engineering,Engineering Science,Environmental Eng Science,N,0,2016-17,(SIRed)
Clg of Engineering,Engineering Science,Environmental Eng Science,N,0,2017-18,(SIRed)
Clg of Engineering,Engineering Science,Environmental Eng Science,U,,2015-16,(SIRed)
Clg of Engineering,Engineering Science,Environmental Eng Science,U,1,2017-18,(SIRed)
Clg of Engineering,Engineering Science,Environmental Eng Science,Y,1,2015-16,(SIRed)
Clg of Engineering,Engineering Science,Environmental Eng Science,Y,1,2016-17,(SIRed)
Clg of Engineering,Engineering Science,Environmental Eng Science,Y,0,2017-18,(SIRed)
Clg of Engineering,Industrial Eng & Ops Research,Industrial Eng & Ops Rsch,N,4,2015-16,(SIRed)
Clg of Engineering,Industrial Eng & Ops Research,Industrial Eng & Ops Rsch,N,4,2016-17,(SIRed)
Clg of Engineering,Industrial Eng & Ops Research,Industrial Eng & Ops Rsch,N,4,2017-18,(SIRed)
Clg of Engineering,Industrial Eng & Ops Research,Industrial Eng & Ops Rsch,U,,2015-16,(SIRed)
Clg of Engineering,Industrial Eng & Ops Research,Industrial Eng & Ops Rsch,U,1,2016-17,(SIRed)
Clg of Engineering,Industrial Eng & Ops Research,Industrial Eng & Ops Rsch,U,0,2017-18,(SIRed)
Clg of Engineering,Industrial Eng & Ops Research,Industrial Eng & Ops Rsch,Y,6,2015-16,(SIRed)
Clg of Engineering,Industrial Eng & Ops Research,Industrial Eng & Ops Rsch,Y,5,2016-17,(SIRed)
Clg of Engineering,Industrial Eng & Ops Research,Industrial Eng & Ops Rsch,Y,4,2017-18,(SIRed)
Clg of Engineering,Materials Science & Eng,Materials Science & Eng,N,2,2015-16,(SIRed)
Clg of Engineering,Materials Science & Eng,Materials Science & Eng,N,1,2016-17,(SIRed)
Clg of Engineering,Materials Science & Eng,Materials Science & Eng,N,4,2017-18,(SIRed)
Clg of Engineering,Materials Science & Eng,Materials Science & Eng,U,,2015-16,(SIRed)
Clg of Engineering,Materials Science & Eng,Materials Science & Eng,U,1,2016-17,(SIRed)
Clg of Engineering,Materials Science & Eng,Materials Science & Eng,U,0,2017-18,(SIRed)
Clg of Engineering,Materials Science & Eng,Materials Science & Eng,Y,2,2015-16,(SIRed)
Clg of Engineering,Materials Science & Eng,Materials Science & Eng,Y,3,2016-17,(SIRed)
Clg of Engineering,Materials Science & Eng,Materials Science & Eng,Y,1,2017-18,(SIRed)
Clg of Engineering,Mechanical Engineering,Mechanical Engineering,N,32,2015-16,(SIRed)
Clg of Engineering,Mechanical Engineering,Mechanical Engineering,N,34,2016-17,(SIRed)
Clg of Engineering,Mechanical Engineering,Mechanical Engineering,N,25,2017-18,(SIRed)
Clg of Engineering,Mechanical Engineering,Mechanical Engineering,U,,2015-16,(SIRed)
Clg of Engineering,Mechanical Engineering,Mechanical Engineering,U,1,2016-17,(SIRed)
Clg of Engineering,Mechanical Engineering,Mechanical Engineering,U,3,2017-18,(SIRed)
Clg of Engineering,Mechanical Engineering,Mechanical Engineering,Y,27,2015-16,(SIRed)
Clg of Engineering,Mechanical Engineering,Mechanical Engineering,Y,23,2016-17,(SIRed)
Clg of Engineering,Mechanical Engineering,Mechanical Engineering,Y,27,2017-18,(SIRed)
Clg of Engineering,Nuclear Engineering,Nuclear Engineering,N,1,2015-16,(SIRed)
Clg of Engineering,Nuclear Engineering,Nuclear Engineering,N,4,2016-17,(SIRed)
Clg of Engineering,Nuclear Engineering,Nuclear Engineering,N,2,2017-18,(SIRed)
Clg of Engineering,Nuclear Engineering,Nuclear Engineering,U,,2015-16,(SIRed)
Clg of Engineering,Nuclear Engineering,Nuclear Engineering,U,0,2016-17,(SIRed)
Clg of Engineering,Nuclear Engineering,Nuclear Engineering,U,0,2017-18,(SIRed)
Clg of Engineering,Nuclear Engineering,Nuclear Engineering,Y,1,2015-16,(SIRed)
Clg of Engineering,Nuclear Engineering,Nuclear Engineering,Y,2,2016-17,(SIRed)
Clg of Engineering,Nuclear Engineering,Nuclear Engineering,Y,5,2017-18,(SIRed)
Clg of Environmental Design,Architecture,Architecture,N,25,2015-16,(SIRed)
Clg of Environmental Design,Architecture,Architecture,N,30,2016-17,(SIRed)
Clg of Environmental Design,Architecture,Architecture,N,34,2017-18,(SIRed)
Clg of Environmental Design,Architecture,Architecture,U,2,2015-16,(SIRed)
Clg of Environmental Design,Architecture,Architecture,U,3,2016-17,(SIRed)
Clg of Environmental Design,Architecture,Architecture,U,2,2017-18,(SIRed)
Clg of Environmental Design,Architecture,Architecture,Y,43,2015-16,(SIRed)
Clg of Environmental Design,Architecture,Architecture,Y,41,2016-17,(SIRed)
Clg of Environmental Design,Architecture,Architecture,Y,31,2017-18,(SIRed)
Clg of Environmental Design,City & Regional Planning,Urban Studies,N,1,2015-16,(SIRed)
Clg of Environmental Design,City & Regional Planning,Urban Studies,N,2,2016-17,(SIRed)
Clg of Environmental Design,City & Regional Planning,Urban Studies,N,5,2017-18,(SIRed)
Clg of Environmental Design,City & Regional Planning,Urban Studies,U,1,2015-16,(SIRed)
Clg of Environmental Design,City & Regional Planning,Urban Studies,U,0,2016-17,(SIRed)
Clg of Environmental Design,City & Regional Planning,Urban Studies,Y,,2015-16,(SIRed)
Clg of Environmental Design,City & Regional Planning,Urban Studies,Y,3,2016-17,(SIRed)
Clg of Environmental Design,City & Regional Planning,Urban Studies,Y,3,2017-18,(SIRed)
Clg of Environmental Design,Landscape Arch & Env Plan,Landscape Architecture,N,5,2015-16,(SIRed)
Clg of Environmental Design,Landscape Arch & Env Plan,Landscape Architecture,N,4,2016-17,(SIRed)
Clg of Environmental Design,Landscape Arch & Env Plan,Landscape Architecture,N,1,2017-18,(SIRed)
Clg of Environmental Design,Landscape Arch & Env Plan,Landscape Architecture,U,1,2015-16,(SIRed)
Clg of Environmental Design,Landscape Arch & Env Plan,Landscape Architecture,Y,2,2015-16,(SIRed)
Clg of Environmental Design,Landscape Arch & Env Plan,Landscape Architecture,Y,1,2016-17,(SIRed)
Clg of Environmental Design,Landscape Arch & Env Plan,Landscape Architecture,Y,5,2017-18,(SIRed)
Clg of Environmental Design,Landscape Arch & Env Plan,Sustainable Environ Dsgn,N,6,2015-16,(SIRed)
Clg of Environmental Design,Landscape Arch & Env Plan,Sustainable Environ Dsgn,N,1,2016-17,(SIRed)
Clg of Environmental Design,Landscape Arch & Env Plan,Sustainable Environ Dsgn,N,3,2017-18,(SIRed)
Clg of Environmental Design,Landscape Arch & Env Plan,Sustainable Environ Dsgn,U,,2015-16,(SIRed)
Clg of Environmental Design,Landscape Arch & Env Plan,Sustainable Environ Dsgn,U,0,2016-17,(SIRed)
Clg of Environmental Design,Landscape Arch & Env Plan,Sustainable Environ Dsgn,U,0,2017-18,(SIRed)
Clg of Environmental Design,Landscape Arch & Env Plan,Sustainable Environ Dsgn,Y,2,2015-16,(SIRed)
Clg of Environmental Design,Landscape Arch & Env Plan,Sustainable Environ Dsgn,Y,5,2016-17,(SIRed)
Clg of Environmental Design,Landscape Arch & Env Plan,Sustainable Environ Dsgn,Y,0,2017-18,(SIRed)
Clg of Letters & Science,African American Studies,African American Studies,N,1,2015-16,(SIRed)
Clg of Letters & Science,African American Studies,African American Studies,N,1,2016-17,(SIRed)
Clg of Letters & Science,African American Studies,African American Studies,N,0,2017-18,(SIRed)
Clg of Letters & Science,African American Studies,African American Studies,U,0,2016-17,(SIRed)
Clg of Letters & Science,African American Studies,African American Studies,U,0,2017-18,(SIRed)
Clg of Letters & Science,African American Studies,African American Studies,Y,,2015-16,(SIRed)
Clg of Letters & Science,African American Studies,African American Studies,Y,6,2016-17,(SIRed)
Clg of Letters & Science,African American Studies,African American Studies,Y,3,2017-18,(SIRed)
Clg of Letters & Science,Anthropology,Anthropology,N,23,2015-16,(SIRed)
Clg of Letters & Science,Anthropology,Anthropology,N,37,2016-17,(SIRed)
Clg of Letters & Science,Anthropology,Anthropology,N,31,2017-18,(SIRed)
Clg of Letters & Science,Anthropology,Anthropology,U,3,2015-16,(SIRed)
Clg of Letters & Science,Anthropology,Anthropology,U,2,2016-17,(SIRed)
Clg of Letters & Science,Anthropology,Anthropology,U,1,2017-18,(SIRed)
Clg of Letters & Science,Anthropology,Anthropology,Y,26,2015-16,(SIRed)
Clg of Letters & Science,Anthropology,Anthropology,Y,34,2016-17,(SIRed)
Clg of Letters & Science,Anthropology,Anthropology,Y,31,2017-18,(SIRed)
Clg of Letters & Science,Art Practice,Art,N,11,2015-16,(SIRed)
Clg of Letters & Science,Art Practice,Art,N,22,2016-17,(SIRed)
Clg of Letters & Science,Art Practice,Art,N,23,2017-18,(SIRed)
Clg of Letters & Science,Art Practice,Art,U,1,2015-16,(SIRed)
Clg of Letters & Science,Art Practice,Art,U,2,2016-17,(SIRed)
Clg of Letters & Science,Art Practice,Art,U,3,2017-18,(SIRed)
Clg of Letters & Science,Art Practice,Art,Y,13,2015-16,(SIRed)
Clg of Letters & Science,Art Practice,Art,Y,18,2016-17,(SIRed)
Clg of Letters & Science,Art Practice,Art,Y,18,2017-18,(SIRed)
Clg of Letters & Science,Astronomy,Astrophysics,N,3,2015-16,(SIRed)
Clg of Letters & Science,Astronomy,Astrophysics,N,4,2016-17,(SIRed)
Clg of Letters & Science,Astronomy,Astrophysics,N,5,2017-18,(SIRed)
Clg of Letters & Science,Astronomy,Astrophysics,U,,2015-16,(SIRed)
Clg of Letters & Science,Astronomy,Astrophysics,U,0,2016-17,(SIRed)
Clg of Letters & Science,Astronomy,Astrophysics,U,0,2017-18,(SIRed)
Clg of Letters & Science,Astronomy,Astrophysics,Y,5,2015-16,(SIRed)
Clg of Letters & Science,Astronomy,Astrophysics,Y,4,2016-17,(SIRed)
Clg of Letters & Science,Astronomy,Astrophysics,Y,1,2017-18,(SIRed)
Clg of Letters & Science,Classics,Classical Civilizations,N,3,2015-16,(SIRed)
Clg of Letters & Science,Classics,Classical Civilizations,N,3,2016-17,(SIRed)
Clg of Letters & Science,Classics,Classical Civilizations,N,2,2017-18,(SIRed)
Clg of Letters & Science,Classics,Classical Civilizations,U,,2015-16,(SIRed)
Clg of Letters & Science,Classics,Classical Civilizations,U,0,2016-17,(SIRed)
Clg of Letters & Science,Classics,Classical Civilizations,U,0,2017-18,(SIRed)
Clg of Letters & Science,Classics,Classical Civilizations,Y,2,2015-16,(SIRed)
Clg of Letters & Science,Classics,Classical Civilizations,Y,0,2016-17,(SIRed)
Clg of Letters & Science,Classics,Classical Civilizations,Y,1,2017-18,(SIRed)
Clg of Letters & Science,Classics,Classical Languages,N,1,2015-16,(SIRed)
Clg of Letters & Science,Classics,Classical Languages,N,0,2016-17,(SIRed)
Clg of Letters & Science,Classics,Classical Languages,N,1,2017-18,(SIRed)
Clg of Letters & Science,Classics,Classical Languages,U,0,2017-18,(SIRed)
Clg of Letters & Science,Classics,Classical Languages,Y,1,2016-17,(SIRed)
Clg of Letters & Science,Classics,Classical Languages,Y,0,2017-18,(SIRed)
Clg of Letters & Science,Classics,Greek,N,,2015-16,(SIRed)
Clg of Letters & Science,Classics,Latin,Y,0,2017-18,(SIRed)
Clg of Letters & Science,Comparative Literature,Comparative Literature,N,10,2015-16,(SIRed)
Clg of Letters & Science,Comparative Literature,Comparative Literature,N,12,2016-17,(SIRed)
Clg of Letters & Science,Comparative Literature,Comparative Literature,N,14,2017-18,(SIRed)
Clg of Letters & Science,Comparative Literature,Comparative Literature,U,0,2016-17,(SIRed)
