College/School,Derived Residency,Gender,Ucb Level2 Ethnic Rollup Desc,Applicant Headcounts,Academic Yr,('SIRed')
Clg of Chemistry,CA Resident,Decline to State,African American,0,2016-17,(SIRed)
Clg of Chemistry,CA Resident,Decline to State,African American,0,2017-18,(SIRed)
Clg of Chemistry,CA Resident,Decline to State,Asian,0,2017-18,(SIRed)
Clg of Chemistry,CA Resident,Decline to State,Chicano/Latino,0,2016-17,(SIRed)
Clg of Chemistry,CA Resident,Decline to State,Decline to State,,2015-16,(SIRed)
Clg of Chemistry,CA Resident,Decline to State,Decline to State,0,2016-17,(SIRed)
Clg of Chemistry,CA Resident,Decline to State,Decline to State,0,2017-18,(SIRed)
Clg of Chemistry,CA Resident,Decline to State,White,0,2017-18,(SIRed)
Clg of Chemistry,CA Resident,Female,African American,,2015-16,(SIRed)
Clg of Chemistry,CA Resident,Female,African American,2,2016-17,(SIRed)
Clg of Chemistry,CA Resident,Female,African American,3,2017-18,(SIRed)
Clg of Chemistry,CA Resident,Female,Asian,10,2015-16,(SIRed)
Clg of Chemistry,CA Resident,Female,Asian,8,2016-17,(SIRed)
Clg of Chemistry,CA Resident,Female,Asian,10,2017-18,(SIRed)
Clg of Chemistry,CA Resident,Female,Chicano/Latino,2,2015-16,(SIRed)
Clg of Chemistry,CA Resident,Female,Chicano/Latino,1,2016-17,(SIRed)
Clg of Chemistry,CA Resident,Female,Chicano/Latino,4,2017-18,(SIRed)
Clg of Chemistry,CA Resident,Female,Decline to State,1,2015-16,(SIRed)
Clg of Chemistry,CA Resident,Female,Decline to State,2,2016-17,(SIRed)
Clg of Chemistry,CA Resident,Female,Decline to State,1,2017-18,(SIRed)
Clg of Chemistry,CA Resident,Female,Native American/Alaska Native,,2015-16,(SIRed)
Clg of Chemistry,CA Resident,Female,Native American/Alaska Native,0,2016-17,(SIRed)
Clg of Chemistry,CA Resident,Female,Native American/Alaska Native,0,2017-18,(SIRed)
Clg of Chemistry,CA Resident,Female,Pacific Islander,,2015-16,(SIRed)
Clg of Chemistry,CA Resident,Female,Pacific Islander,0,2016-17,(SIRed)
Clg of Chemistry,CA Resident,Female,White,5,2015-16,(SIRed)
Clg of Chemistry,CA Resident,Female,White,3,2016-17,(SIRed)
Clg of Chemistry,CA Resident,Female,White,5,2017-18,(SIRed)
Clg of Chemistry,CA Resident,Male,African American,1,2015-16,(SIRed)
Clg of Chemistry,CA Resident,Male,African American,1,2016-17,(SIRed)
Clg of Chemistry,CA Resident,Male,African American,0,2017-18,(SIRed)
Clg of Chemistry,CA Resident,Male,Asian,8,2015-16,(SIRed)
Clg of Chemistry,CA Resident,Male,Asian,16,2016-17,(SIRed)
Clg of Chemistry,CA Resident,Male,Asian,10,2017-18,(SIRed)
Clg of Chemistry,CA Resident,Male,Chicano/Latino,6,2015-16,(SIRed)
Clg of Chemistry,CA Resident,Male,Chicano/Latino,10,2016-17,(SIRed)
Clg of Chemistry,CA Resident,Male,Chicano/Latino,7,2017-18,(SIRed)
Clg of Chemistry,CA Resident,Male,Decline to State,1,2015-16,(SIRed)
Clg of Chemistry,CA Resident,Male,Decline to State,1,2016-17,(SIRed)
Clg of Chemistry,CA Resident,Male,Decline to State,0,2017-18,(SIRed)
Clg of Chemistry,CA Resident,Male,Native American/Alaska Native,,2015-16,(SIRed)
Clg of Chemistry,CA Resident,Male,Native American/Alaska Native,0,2016-17,(SIRed)
Clg of Chemistry,CA Resident,Male,Native American/Alaska Native,0,2017-18,(SIRed)
Clg of Chemistry,CA Resident,Male,Pacific Islander,,2015-16,(SIRed)
Clg of Chemistry,CA Resident,Male,Pacific Islander,1,2017-18,(SIRed)
Clg of Chemistry,CA Resident,Male,White,14,2015-16,(SIRed)
Clg of Chemistry,CA Resident,Male,White,11,2016-17,(SIRed)
Clg of Chemistry,CA Resident,Male,White,14,2017-18,(SIRed)
Clg of Chemistry,International,Decline to State,International,,2015-16,(SIRed)
Clg of Chemistry,International,Decline to State,International,0,2016-17,(SIRed)
Clg of Chemistry,International,Decline to State,International,0,2017-18,(SIRed)
Clg of Chemistry,International,Female,International,11,2015-16,(SIRed)
Clg of Chemistry,International,Female,International,9,2016-17,(SIRed)
Clg of Chemistry,International,Female,International,9,2017-18,(SIRed)
Clg of Chemistry,International,Male,International,14,2015-16,(SIRed)
Clg of Chemistry,International,Male,International,10,2016-17,(SIRed)
Clg of Chemistry,International,Male,International,8,2017-18,(SIRed)
Clg of Chemistry,Out of State Domestic,Decline to State,Asian,0,2016-17,(SIRed)
Clg of Chemistry,Out of State Domestic,Decline to State,Decline to State,0,2016-17,(SIRed)
Clg of Chemistry,Out of State Domestic,Decline to State,Decline to State,0,2017-18,(SIRed)
Clg of Chemistry,Out of State Domestic,Female,African American,,2015-16,(SIRed)
Clg of Chemistry,Out of State Domestic,Female,African American,0,2017-18,(SIRed)
Clg of Chemistry,Out of State Domestic,Female,Asian,,2015-16,(SIRed)
Clg of Chemistry,Out of State Domestic,Female,Asian,0,2016-17,(SIRed)
Clg of Chemistry,Out of State Domestic,Female,Asian,0,2017-18,(SIRed)
Clg of Chemistry,Out of State Domestic,Female,Chicano/Latino,,2015-16,(SIRed)
Clg of Chemistry,Out of State Domestic,Female,Chicano/Latino,0,2016-17,(SIRed)
Clg of Chemistry,Out of State Domestic,Female,Chicano/Latino,0,2017-18,(SIRed)
Clg of Chemistry,Out of State Domestic,Female,White,1,2015-16,(SIRed)
Clg of Chemistry,Out of State Domestic,Female,White,0,2016-17,(SIRed)
Clg of Chemistry,Out of State Domestic,Female,White,0,2017-18,(SIRed)
Clg of Chemistry,Out of State Domestic,Male,African American,,2015-16,(SIRed)
Clg of Chemistry,Out of State Domestic,Male,African American,0,2016-17,(SIRed)
Clg of Chemistry,Out of State Domestic,Male,African American,0,2017-18,(SIRed)
Clg of Chemistry,Out of State Domestic,Male,Asian,,2015-16,(SIRed)
Clg of Chemistry,Out of State Domestic,Male,Asian,0,2016-17,(SIRed)
Clg of Chemistry,Out of State Domestic,Male,Asian,0,2017-18,(SIRed)
Clg of Chemistry,Out of State Domestic,Male,Chicano/Latino,,2015-16,(SIRed)
Clg of Chemistry,Out of State Domestic,Male,Chicano/Latino,0,2016-17,(SIRed)
Clg of Chemistry,Out of State Domestic,Male,Chicano/Latino,0,2017-18,(SIRed)
Clg of Chemistry,Out of State Domestic,Male,Decline to State,0,2016-17,(SIRed)
Clg of Chemistry,Out of State Domestic,Male,Native American/Alaska Native,0,2016-17,(SIRed)
Clg of Chemistry,Out of State Domestic,Male,Native American/Alaska Native,0,2017-18,(SIRed)
Clg of Chemistry,Out of State Domestic,Male,White,,2015-16,(SIRed)
Clg of Chemistry,Out of State Domestic,Male,White,2,2016-17,(SIRed)
Clg of Chemistry,Out of State Domestic,Male,White,0,2017-18,(SIRed)
Clg of Engineering,CA Resident,Decline to State,African American,0,2016-17,(SIRed)
Clg of Engineering,CA Resident,Decline to State,Asian,,2015-16,(SIRed)
Clg of Engineering,CA Resident,Decline to State,Asian,0,2016-17,(SIRed)
Clg of Engineering,CA Resident,Decline to State,Chicano/Latino,,2015-16,(SIRed)
Clg of Engineering,CA Resident,Decline to State,Chicano/Latino,0,2016-17,(SIRed)
Clg of Engineering,CA Resident,Decline to State,Decline to State,,2015-16,(SIRed)
Clg of Engineering,CA Resident,Decline to State,Decline to State,4,2016-17,(SIRed)
Clg of Engineering,CA Resident,Decline to State,Decline to State,2,2017-18,(SIRed)
Clg of Engineering,CA Resident,Decline to State,Pacific Islander,,2015-16,(SIRed)
Clg of Engineering,CA Resident,Decline to State,Pacific Islander,0,2016-17,(SIRed)
Clg of Engineering,CA Resident,Decline to State,White,,2015-16,(SIRed)
Clg of Engineering,CA Resident,Decline to State,White,0,2016-17,(SIRed)
Clg of Engineering,CA Resident,Decline to State,White,0,2017-18,(SIRed)
Clg of Engineering,CA Resident,Female,African American,1,2015-16,(SIRed)
Clg of Engineering,CA Resident,Female,African American,0,2016-17,(SIRed)
Clg of Engineering,CA Resident,Female,African American,2,2017-18,(SIRed)
Clg of Engineering,CA Resident,Female,Asian,9,2015-16,(SIRed)
Clg of Engineering,CA Resident,Female,Asian,11,2016-17,(SIRed)
Clg of Engineering,CA Resident,Female,Asian,12,2017-18,(SIRed)
Clg of Engineering,CA Resident,Female,Chicano/Latino,7,2015-16,(SIRed)
Clg of Engineering,CA Resident,Female,Chicano/Latino,8,2016-17,(SIRed)
Clg of Engineering,CA Resident,Female,Chicano/Latino,6,2017-18,(SIRed)
Clg of Engineering,CA Resident,Female,Decline to State,,2015-16,(SIRed)
Clg of Engineering,CA Resident,Female,Decline to State,1,2016-17,(SIRed)
Clg of Engineering,CA Resident,Female,Decline to State,0,2017-18,(SIRed)
Clg of Engineering,CA Resident,Female,Native American/Alaska Native,,2015-16,(SIRed)
Clg of Engineering,CA Resident,Female,Native American/Alaska Native,0,2016-17,(SIRed)
Clg of Engineering,CA Resident,Female,Native American/Alaska Native,0,2017-18,(SIRed)
Clg of Engineering,CA Resident,Female,Pacific Islander,,2015-16,(SIRed)
Clg of Engineering,CA Resident,Female,Pacific Islander,0,2016-17,(SIRed)
Clg of Engineering,CA Resident,Female,Pacific Islander,0,2017-18,(SIRed)
Clg of Engineering,CA Resident,Female,White,8,2015-16,(SIRed)
Clg of Engineering,CA Resident,Female,White,10,2016-17,(SIRed)
Clg of Engineering,CA Resident,Female,White,9,2017-18,(SIRed)
Clg of Engineering,CA Resident,Male,African American,5,2015-16,(SIRed)
Clg of Engineering,CA Resident,Male,African American,4,2016-17,(SIRed)
Clg of Engineering,CA Resident,Male,African American,3,2017-18,(SIRed)
Clg of Engineering,CA Resident,Male,Asian,33,2015-16,(SIRed)
Clg of Engineering,CA Resident,Male,Asian,42,2016-17,(SIRed)
Clg of Engineering,CA Resident,Male,Asian,52,2017-18,(SIRed)
Clg of Engineering,CA Resident,Male,Chicano/Latino,18,2015-16,(SIRed)
Clg of Engineering,CA Resident,Male,Chicano/Latino,19,2016-17,(SIRed)
Clg of Engineering,CA Resident,Male,Chicano/Latino,26,2017-18,(SIRed)
Clg of Engineering,CA Resident,Male,Decline to State,5,2015-16,(SIRed)
Clg of Engineering,CA Resident,Male,Decline to State,2,2016-17,(SIRed)
Clg of Engineering,CA Resident,Male,Decline to State,1,2017-18,(SIRed)
Clg of Engineering,CA Resident,Male,Native American/Alaska Native,1,2015-16,(SIRed)
Clg of Engineering,CA Resident,Male,Native American/Alaska Native,0,2016-17,(SIRed)
Clg of Engineering,CA Resident,Male,Native American/Alaska Native,1,2017-18,(SIRed)
Clg of Engineering,CA Resident,Male,Pacific Islander,1,2015-16,(SIRed)
Clg of Engineering,CA Resident,Male,Pacific Islander,0,2016-17,(SIRed)
Clg of Engineering,CA Resident,Male,Pacific Islander,0,2017-18,(SIRed)
Clg of Engineering,CA Resident,Male,White,40,2015-16,(SIRed)
Clg of Engineering,CA Resident,Male,White,51,2016-17,(SIRed)
Clg of Engineering,CA Resident,Male,White,37,2017-18,(SIRed)
Clg of Engineering,International,Decline to State,International,,2015-16,(SIRed)
Clg of Engineering,International,Decline to State,International,0,2016-17,(SIRed)
Clg of Engineering,International,Decline to State,International,2,2017-18,(SIRed)
Clg of Engineering,International,Female,International,10,2015-16,(SIRed)
Clg of Engineering,International,Female,International,9,2016-17,(SIRed)
Clg of Engineering,International,Female,International,11,2017-18,(SIRed)
Clg of Engineering,International,Male,International,37,2015-16,(SIRed)
Clg of Engineering,International,Male,International,34,2016-17,(SIRed)
Clg of Engineering,International,Male,International,46,2017-18,(SIRed)
Clg of Engineering,Out of State Domestic,Decline to State,Asian,0,2017-18,(SIRed)
Clg of Engineering,Out of State Domestic,Decline to State,Decline to State,,2015-16,(SIRed)
Clg of Engineering,Out of State Domestic,Decline to State,Decline to State,0,2016-17,(SIRed)
Clg of Engineering,Out of State Domestic,Decline to State,Decline to State,0,2017-18,(SIRed)
Clg of Engineering,Out of State Domestic,Decline to State,Native American/Alaska Native,,2015-16,(SIRed)
Clg of Engineering,Out of State Domestic,Decline to State,White,,2015-16,(SIRed)
Clg of Engineering,Out of State Domestic,Female,African American,,2015-16,(SIRed)
Clg of Engineering,Out of State Domestic,Female,African American,0,2016-17,(SIRed)
Clg of Engineering,Out of State Domestic,Female,African American,0,2017-18,(SIRed)
Clg of Engineering,Out of State Domestic,Female,Asian,,2015-16,(SIRed)
Clg of Engineering,Out of State Domestic,Female,Asian,0,2016-17,(SIRed)
Clg of Engineering,Out of State Domestic,Female,Asian,0,2017-18,(SIRed)
Clg of Engineering,Out of State Domestic,Female,Chicano/Latino,,2015-16,(SIRed)
Clg of Engineering,Out of State Domestic,Female,Chicano/Latino,0,2016-17,(SIRed)
Clg of Engineering,Out of State Domestic,Female,Chicano/Latino,0,2017-18,(SIRed)
Clg of Engineering,Out of State Domestic,Female,Decline to State,0,2017-18,(SIRed)
Clg of Engineering,Out of State Domestic,Female,Pacific Islander,,2015-16,(SIRed)
Clg of Engineering,Out of State Domestic,Female,White,2,2015-16,(SIRed)
Clg of Engineering,Out of State Domestic,Female,White,0,2016-17,(SIRed)
Clg of Engineering,Out of State Domestic,Female,White,0,2017-18,(SIRed)
Clg of Engineering,Out of State Domestic,Male,African American,,2015-16,(SIRed)
Clg of Engineering,Out of State Domestic,Male,African American,0,2016-17,(SIRed)
Clg of Engineering,Out of State Domestic,Male,African American,0,2017-18,(SIRed)
Clg of Engineering,Out of State Domestic,Male,Asian,,2015-16,(SIRed)
Clg of Engineering,Out of State Domestic,Male,Asian,0,2016-17,(SIRed)
Clg of Engineering,Out of State Domestic,Male,Asian,2,2017-18,(SIRed)
Clg of Engineering,Out of State Domestic,Male,Chicano/Latino,1,2015-16,(SIRed)
Clg of Engineering,Out of State Domestic,Male,Chicano/Latino,0,2016-17,(SIRed)
Clg of Engineering,Out of State Domestic,Male,Chicano/Latino,0,2017-18,(SIRed)
Clg of Engineering,Out of State Domestic,Male,Decline to State,,2015-16,(SIRed)
Clg of Engineering,Out of State Domestic,Male,Decline to State,0,2016-17,(SIRed)
Clg of Engineering,Out of State Domestic,Male,Decline to State,0,2017-18,(SIRed)
Clg of Engineering,Out of State Domestic,Male,Native American/Alaska Native,0,2016-17,(SIRed)
Clg of Engineering,Out of State Domestic,Male,Pacific Islander,0,2016-17,(SIRed)
Clg of Engineering,Out of State Domestic,Male,Pacific Islander,0,2017-18,(SIRed)
Clg of Engineering,Out of State Domestic,Male,White,,2015-16,(SIRed)
Clg of Engineering,Out of State Domestic,Male,White,1,2016-17,(SIRed)
Clg of Engineering,Out of State Domestic,Male,White,1,2017-18,(SIRed)
Clg of Environmental Design,CA Resident,Decline to State,African American,0,2016-17,(SIRed)
Clg of Environmental Design,CA Resident,Decline to State,Asian,0,2016-17,(SIRed)
Clg of Environmental Design,CA Resident,Decline to State,Chicano/Latino,0,2016-17,(SIRed)
Clg of Environmental Design,CA Resident,Decline to State,Decline to State,1,2016-17,(SIRed)
Clg of Environmental Design,CA Resident,Decline to State,Decline to State,1,2017-18,(SIRed)
Clg of Environmental Design,CA Resident,Decline to State,White,0,2016-17,(SIRed)
Clg of Environmental Design,CA Resident,Female,African American,,2015-16,(SIRed)
Clg of Environmental Design,CA Resident,Female,African American,1,2016-17,(SIRed)
Clg of Environmental Design,CA Resident,Female,African American,3,2017-18,(SIRed)
Clg of Environmental Design,CA Resident,Female,Asian,7,2015-16,(SIRed)
Clg of Environmental Design,CA Resident,Female,Asian,8,2016-17,(SIRed)
Clg of Environmental Design,CA Resident,Female,Asian,10,2017-18,(SIRed)
Clg of Environmental Design,CA Resident,Female,Chicano/Latino,8,2015-16,(SIRed)
Clg of Environmental Design,CA Resident,Female,Chicano/Latino,6,2016-17,(SIRed)
Clg of Environmental Design,CA Resident,Female,Chicano/Latino,2,2017-18,(SIRed)
Clg of Environmental Design,CA Resident,Female,Decline to State,1,2015-16,(SIRed)
Clg of Environmental Design,CA Resident,Female,Decline to State,1,2017-18,(SIRed)
Clg of Environmental Design,CA Resident,Female,Native American/Alaska Native,1,2015-16,(SIRed)
Clg of Environmental Design,CA Resident,Female,Native American/Alaska Native,0,2016-17,(SIRed)
Clg of Environmental Design,CA Resident,Female,White,10,2015-16,(SIRed)
Clg of Environmental Design,CA Resident,Female,White,4,2016-17,(SIRed)
Clg of Environmental Design,CA Resident,Female,White,12,2017-18,(SIRed)
Clg of Environmental Design,CA Resident,Male,African American,,2015-16,(SIRed)
Clg of Environmental Design,CA Resident,Male,African American,2,2016-17,(SIRed)
Clg of Environmental Design,CA Resident,Male,African American,2,2017-18,(SIRed)
Clg of Environmental Design,CA Resident,Male,Asian,9,2015-16,(SIRed)
Clg of Environmental Design,CA Resident,Male,Asian,12,2016-17,(SIRed)
Clg of Environmental Design,CA Resident,Male,Asian,6,2017-18,(SIRed)
Clg of Environmental Design,CA Resident,Male,Chicano/Latino,11,2015-16,(SIRed)
Clg of Environmental Design,CA Resident,Male,Chicano/Latino,11,2016-17,(SIRed)
Clg of Environmental Design,CA Resident,Male,Chicano/Latino,3,2017-18,(SIRed)
Clg of Environmental Design,CA Resident,Male,Decline to State,,2015-16,(SIRed)
Clg of Environmental Design,CA Resident,Male,Decline to State,1,2016-17,(SIRed)
Clg of Environmental Design,CA Resident,Male,Pacific Islander,,2015-16,(SIRed)
Clg of Environmental Design,CA Resident,Male,Pacific Islander,0,2016-17,(SIRed)
Clg of Environmental Design,CA Resident,Male,Pacific Islander,0,2017-18,(SIRed)
Clg of Environmental Design,CA Resident,Male,White,11,2015-16,(SIRed)
Clg of Environmental Design,CA Resident,Male,White,12,2016-17,(SIRed)
Clg of Environmental Design,CA Resident,Male,White,6,2017-18,(SIRed)
Clg of Environmental Design,International,Decline to State,International,,2015-16,(SIRed)
Clg of Environmental Design,International,Decline to State,International,1,2017-18,(SIRed)
Clg of Environmental Design,International,Female,International,15,2015-16,(SIRed)
Clg of Environmental Design,International,Female,International,17,2016-17,(SIRed)
Clg of Environmental Design,International,Female,International,16,2017-18,(SIRed)
Clg of Environmental Design,International,Male,International,15,2015-16,(SIRed)
Clg of Environmental Design,International,Male,International,14,2016-17,(SIRed)
Clg of Environmental Design,International,Male,International,20,2017-18,(SIRed)
Clg of Environmental Design,Out of State Domestic,Female,Asian,,2015-16,(SIRed)
Clg of Environmental Design,Out of State Domestic,Female,Asian,1,2016-17,(SIRed)
Clg of Environmental Design,Out of State Domestic,Female,Asian,0,2017-18,(SIRed)
Clg of Environmental Design,Out of State Domestic,Female,Native American/Alaska Native,,2015-16,(SIRed)
Clg of Environmental Design,Out of State Domestic,Female,White,,2015-16,(SIRed)
Clg of Environmental Design,Out of State Domestic,Female,White,0,2016-17,(SIRed)
Clg of Environmental Design,Out of State Domestic,Female,White,1,2017-18,(SIRed)
Clg of Environmental Design,Out of State Domestic,Male,Asian,0,2016-17,(SIRed)
Clg of Environmental Design,Out of State Domestic,Male,Chicano/Latino,,2015-16,(SIRed)
Clg of Environmental Design,Out of State Domestic,Male,Chicano/Latino,0,2016-17,(SIRed)
Clg of Environmental Design,Out of State Domestic,Male,White,,2015-16,(SIRed)
Clg of Environmental Design,Out of State Domestic,Male,White,0,2016-17,(SIRed)
Clg of Environmental Design,Out of State Domestic,Male,White,0,2017-18,(SIRed)
Clg of Letters & Science,CA Resident,Decline to State,African American,,2015-16,(SIRed)
Clg of Letters & Science,CA Resident,Decline to State,African American,1,2016-17,(SIRed)
Clg of Letters & Science,CA Resident,Decline to State,African American,2,2017-18,(SIRed)
Clg of Letters & Science,CA Resident,Decline to State,Asian,,2015-16,(SIRed)
Clg of Letters & Science,CA Resident,Decline to State,Asian,2,2016-17,(SIRed)
Clg of Letters & Science,CA Resident,Decline to State,Asian,3,2017-18,(SIRed)
Clg of Letters & Science,CA Resident,Decline to State,Chicano/Latino,,2015-16,(SIRed)
Clg of Letters & Science,CA Resident,Decline to State,Chicano/Latino,1,2016-17,(SIRed)
Clg of Letters & Science,CA Resident,Decline to State,Chicano/Latino,2,2017-18,(SIRed)
Clg of Letters & Science,CA Resident,Decline to State,Decline to State,2,2015-16,(SIRed)
Clg of Letters & Science,CA Resident,Decline to State,Decline to State,28,2016-17,(SIRed)
Clg of Letters & Science,CA Resident,Decline to State,Decline to State,24,2017-18,(SIRed)
Clg of Letters & Science,CA Resident,Decline to State,Native American/Alaska Native,,2015-16,(SIRed)
Clg of Letters & Science,CA Resident,Decline to State,Native American/Alaska Native,1,2016-17,(SIRed)
Clg of Letters & Science,CA Resident,Decline to State,Pacific Islander,0,2016-17,(SIRed)
Clg of Letters & Science,CA Resident,Decline to State,White,,2015-16,(SIRed)
Clg of Letters & Science,CA Resident,Decline to State,White,3,2016-17,(SIRed)
Clg of Letters & Science,CA Resident,Decline to State,White,4,2017-18,(SIRed)
Clg of Letters & Science,CA Resident,Female,African American,44,2015-16,(SIRed)
Clg of Letters & Science,CA Resident,Female,African American,76,2016-17,(SIRed)
Clg of Letters & Science,CA Resident,Female,African American,64,2017-18,(SIRed)
Clg of Letters & Science,CA Resident,Female,Asian,281,2015-16,(SIRed)
Clg of Letters & Science,CA Resident,Female,Asian,317,2016-17,(SIRed)
Clg of Letters & Science,CA Resident,Female,Asian,350,2017-18,(SIRed)
Clg of Letters & Science,CA Resident,Female,Chicano/Latino,213,2015-16,(SIRed)
Clg of Letters & Science,CA Resident,Female,Chicano/Latino,274,2016-17,(SIRed)
Clg of Letters & Science,CA Resident,Female,Chicano/Latino,258,2017-18,(SIRed)
Clg of Letters & Science,CA Resident,Female,Decline to State,25,2015-16,(SIRed)
Clg of Letters & Science,CA Resident,Female,Decline to State,18,2016-17,(SIRed)
Clg of Letters & Science,CA Resident,Female,Decline to State,16,2017-18,(SIRed)
Clg of Letters & Science,CA Resident,Female,Native American/Alaska Native,8,2015-16,(SIRed)
